iter	Passed	Remaining
0	5	5790
1	11	5540
2	15	5199
3	20	5128
4	26	5229
5	31	5139
6	35	5029
7	40	5013
8	45	5023
9	50	4957
10	54	4871
11	60	4955
12	64	4888
13	68	4806
14	74	4923
15	79	4904
16	83	4834
17	88	4814
18	92	4762
19	96	4709
20	99	4653
21	106	4714
22	111	4717
23	115	4708
24	121	4748
25	126	4750
26	131	4739
27	137	4781
28	142	4760
29	146	4734
30	150	4702
31	154	4685
32	158	4651
33	162	4620
34	166	4593
35	171	4579
36	174	4551
37	178	4523
38	182	4503
39	187	4492
40	191	4468
41	195	4448
42	199	4434
43	203	4417
44	207	4394
45	211	4376
46	216	4398
47	220	4378
48	224	4365
49	228	4349
50	234	4363
51	239	4363
52	243	4346
53	248	4345
54	252	4346
55	255	4314
56	259	4300
57	266	4322
58	270	4309
59	274	4302
60	278	4292
61	283	4284
62	286	4266
63	290	4253
64	295	4250
65	299	4238
66	303	4225
67	307	4212
68	312	4218
69	316	4207
70	320	4193
71	325	4189
72	330	4197
73	334	4187
74	338	4176
75	342	4169
76	347	4164
77	351	4156
78	355	4142
79	360	4142
80	364	4134
81	368	4122
82	371	4109
83	377	4112
84	380	4100
85	384	4090
86	388	4079
87	393	4078
88	397	4067
89	401	4056
90	405	4046
91	410	4048
92	413	4037
93	417	4025
94	422	4025
95	426	4018
96	430	4009
97	434	3998
98	440	4005
99	445	4007
100	449	3997
101	453	3996
102	459	4002
103	463	3994
104	467	3987
105	473	3993
106	477	3986
107	481	3977
108	485	3970
109	490	3971
110	494	3964
111	498	3955
112	504	3958
113	508	3949
114	511	3939
115	515	3930
116	520	3929
117	524	3922
118	528	3913
119	532	3906
120	538	3908
121	542	3902
122	546	3893
123	550	3890
124	554	3883
125	558	3875
126	562	3866
127	567	3867
128	571	3859
129	575	3850
130	579	3842
131	584	3845
132	588	3836
133	592	3829
134	596	3821
135	601	3822
136	605	3813
137	609	3805
138	613	3801
139	618	3801
140	622	3793
141	626	3785
142	633	3794
143	638	3793
144	642	3786
145	648	3791
146	652	3785
147	656	3779
148	661	3776
149	666	3778
150	671	3775
151	675	3767
152	680	3768
153	684	3761
154	688	3754
155	692	3746
156	697	3745
157	701	3738
158	705	3731
159	709	3725
160	713	3720
161	717	3712
162	721	3705
163	725	3698
164	730	3694
165	734	3687
166	737	3680
167	742	3679
168	747	3677
169	753	3676
170	757	3672
171	761	3667
172	765	3660
173	769	3654
174	773	3647
175	778	3642
176	781	3635
177	785	3628
178	789	3621
179	794	3617
180	798	3610
181	801	3603
182	806	3599
183	810	3594
184	814	3586
185	818	3580
186	823	3579
187	827	3573
188	831	3567
189	835	3560
190	841	3562
191	845	3559
192	849	3553
193	855	3553
194	859	3548
195	863	3541
196	867	3535
197	873	3539
198	877	3533
199	881	3526
200	888	3531
201	892	3527
202	896	3520
203	901	3516
204	905	3512
205	909	3505
206	913	3499
207	918	3496
208	922	3490
209	926	3484
210	930	3479
211	935	3478
212	940	3474
213	944	3468
214	948	3462
215	953	3460
216	957	3453
217	961	3447
218	965	3442
219	969	3438
220	973	3432
221	977	3425
222	982	3422
223	986	3416
224	990	3410
225	993	3404
226	999	3402
227	1003	3396
228	1006	3390
229	1010	3383
230	1016	3384
231	1020	3378
232	1024	3373
233	1029	3369
234	1034	3367
235	1038	3362
236	1042	3356
237	1048	3357
238	1053	3353
239	1056	3347
240	1062	3345
241	1068	3347
242	1074	3347
243	1080	3348
244	1086	3346
245	1090	3343
246	1099	3352
247	1105	3351
248	1111	3353
249	1116	3349
250	1120	3345
251	1126	3343
252	1132	3343
253	1137	3340
254	1142	3338
255	1147	3335
256	1153	3334
257	1158	3332
258	1163	3327
259	1167	3324
260	1172	3319
261	1177	3315
262	1180	3309
263	1185	3304
264	1190	3300
265	1194	3295
266	1198	3289
267	1202	3284
268	1208	3285
269	1212	3279
270	1217	3276
271	1221	3270
272	1226	3266
273	1230	3259
274	1235	3258
275	1240	3254
276	1244	3249
277	1251	3249
278	1255	3245
279	1259	3239
280	1266	3239
281	1271	3236
282	1275	3231
283	1280	3227
284	1286	3226
285	1290	3221
286	1294	3216
287	1299	3213
288	1303	3207
289	1308	3202
290	1312	3197
291	1317	3193
292	1320	3187
293	1325	3181
294	1331	3180
295	1335	3177
296	1339	3171
297	1344	3166
298	1349	3163
299	1353	3158
300	1358	3153
301	1364	3154
302	1368	3148
303	1372	3142
304	1377	3139
305	1381	3134
306	1386	3128
307	1390	3123
308	1395	3120
309	1399	3115
310	1403	3109
311	1407	3104
312	1413	3102
313	1417	3096
314	1421	3090
315	1426	3088
316	1431	3084
317	1435	3078
318	1440	3074
319	1444	3070
320	1448	3064
321	1452	3058
322	1458	3057
323	1463	3053
324	1467	3047
325	1473	3045
326	1479	3044
327	1483	3039
328	1487	3034
329	1492	3031
330	1496	3025
331	1500	3019
332	1505	3016
333	1509	3010
334	1514	3005
335	1518	3000
336	1523	2997
337	1527	2991
338	1531	2986
339	1536	2982
340	1541	2979
341	1546	2975
342	1551	2971
343	1556	2967
344	1560	2961
345	1564	2956
346	1568	2952
347	1573	2948
348	1577	2942
349	1581	2937
350	1586	2934
351	1590	2928
352	1595	2923
353	1599	2918
354	1604	2914
355	1608	2909
356	1612	2904
357	1618	2901
358	1623	2897
359	1627	2892
360	1631	2887
361	1636	2884
362	1640	2879
363	1645	2874
364	1650	2872
365	1655	2867
366	1659	2861
367	1663	2856
368	1668	2853
369	1672	2848
370	1677	2843
371	1684	2843
372	1689	2839
